Bedroom,Bathroom,Address,Price
2,2.0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada","$2,450.00"
1,1.0,"361 Front St W, Toronto, ON M5V 3R5, Canada","$2,150.00"
1,1.0,"89 McGill Street, Toronto, ON, M5B 0B1","$1,950.00"
2,2.0,"10 York Street, Toronto, ON, M5J 0E1","$2,900.00"
1,1.0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada","$1,800.00"
1,1.0,"87 Jameson Avenue, Toronto, ON, M6K 2W8","$1,729.00"
2,1.0,"700  Ross Street, Burlington, ON, L7S 1S2","$1,685.00"
1,1.0,"25 Telegram Mews, Toronto, ON, M5V 3Z2","$1,900.00"
1,1.0,"560 Front St W, toronto, ON, M5V 0L5","$1,900.00"
1,1.0,"70 Queens Wharf Rd 33rd Floor, Toronto, ON M5V 0J2, Canada","$2,400.00"
1,1.0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5","$1,750.00"
2,1.0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5","$2,000.00"
1,1.0,"555 Yonge St, Toronto, ON M4Y 3A6, Canada","$2,200.00"
1,1.0,"M5J, Canada","$2,350.00"
1,1.0,"295 Adelaide St W, Toronto, ON M5V 0L4, Canada","$2,650.00"
1,1.0,"191 - 201 Sherbourne, Toronto, ON, M5A 3X2","$1,799.00"
2,2.0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada","$3,150.00"
2,2.0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada","$3,200.00"
1,1.0,"438 Richmond St W, Toronto, ON M5V 1X9, Canada","$2,500.00"
1,1.0,"12 York St, Toronto, ON M5J 2Z2, Canada","$2,400.00"
1,1.0,"7934 Kipling Ave, Woodbridge, ON L4L 1Z5, Canada","$1,750.00"
2,2.0,"York St, Toronto, ON M5J 2Z2, Canada","$3,100.00"
2,2.0,"10 Park Lawn Rd, Etobicoke, ON M8Y 3K4, Canada","$2,999.00"
1,1.0,", Toronto M3H4Z2 ON, Canada","$1,250.00"
1,1.0,"33 Gamble Ave, East York, ON M4K 2H5, Canada","$1,825.00"
1,1.0,"9 George St N, Brampton, ON L6X 0T6, Canada","$1,900.00"
2,1.0,"33 Gamble Ave, East York, ON M4K 2H5, Canada","$2,245.00"
1,1.0,"10 York Street, Toronto, ON, M5J 0E1","$2,200.00"
1,1.0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON","$2,299.00"
1,1.0,"28 Linden Street, Toronto, ON, M4Y 0A4","$1,950.00"
1,1.0,"832 Bay St, Toronto, ON M5S 1Z6, Canada","$2,250.00"
2,1.5,"1375 Stephenson Dr Unit 24, Burlington, ON L7S 2M5, Canada","$2,000.00"
2,2.0,"70 Temperance St, Toronto, ON M5H 0B1, Canada","$2,800.00"
1,1.0,"70 Temperance St, Toronto, ON M5H 0B1, Canada","$1,900.00"
1,1.0,"Downtown Port Credit, Mississauga, ON, L5G 1G4","$1,727.00"
2,1.0,"200 Dufferin Street, Toronto, ON, M6K 1Z4","$2,230.00"
1,1.0,"392 Sherbourne Street, Toronto, ON, M4X 1K3","$1,785.00"
2,2.0,"290 Adelaide St W, Toronto, ON M5V 1P6, Canada","$2,350.00"
1,1.0,"200 Dufferin Street, Toronto, ON, M6K 1Z4","$1,475.00"
1,1.0,"36 Maitland Street, Toronto, ON, M4Y 1C5","$1,815.00"
1,1.0,"15 Merchants Wharf, Toronto, ON, M5A 0N8","$2,450.00"
1,1.0,"105 George St, Toronto, ON M5A 0L4, Canada","$2,200.00"
2,1.0,"Dunlop St E, Whitby, ON L1N, Canada","$1,350.00"
1,1.0,"224 King St W, Toronto, ON, M5H 0A6","$2,400.00"
1,1.0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada","$2,424.00"
1,1.0,"565 Sherbourne Street, Toronto, ON, M4X 1W5","$1,700.00"
1,1.0,"171 Main Street North, Brampton, ON, L6X 0H4","$1,500.00"
1,1.0,"318 Richmond St W, Toronto, ON M5V 0B4, Canada","$2,550.00"
2,1.0,"171 Main Street North, Brampton, ON, L6X 0H4","$1,775.00"
1,1.0,"Enterprise Blvd, Markham, ON, Canada","$1,750.00"
1,1.0,"100 Harbour St, Toronto, ON M5J 1B7, Canada","$1,830.00"
1,1.0,"28 Wellesley Street East, M4Y 0C4, Toronto, ON","$2,000.00"
2,1.0,"2548 Eglinton Ave W, M6M 1T1, Toronto, ON","$1,850.00"
2,1.0,"101 Sheridan Ave, Toronto, ON M6K 2G8, Canada","$1,300.00"
1,1.0,"33 Bay St, Toronto, ON M5J 2Z3, Canada","$2,275.00"
2,1.0,"Port Hope, ON, Canada","$1,595.00"
1,2.0,"10 Capreol Ct, Toronto, ON M5V 4B3, Canada","$2,500.00"
2,2.0,"235 Sherway Gardens Rd, Etobicoke, ON M9C 0A2, Canada","$2,380.00"
1,1.0,"14 York St, Toronto, ON M5J 0B1, Canada","$2,000.00"
